Дата,Номер_договора,ID_клиента,Название_клиента,Тип_клиента,ID_менеджера,ФИО_менеджера,Категория,Количество,Цена_за_ед,Сумма,Статус
2026-01-04,Д-2026-00058,27,ООО «УралСталь-027»,Опт,5,Соколова Е.Д.,Лист,176,266.35,46877.09,Оплачено
2026-01-04,Д-2026-00198,195,ООО «ВостокМет-195»,Опт,5,Соколова Е.Д.,Арматура,465,657.55,305762.6,Отменено
2026-01-04,Д-2026-00191,59,ООО «ТрубМаркет-059»,Опт,1,Иванов А.А.,Лист,202,196.68,39729.25,Оплачено
2026-01-04,Д-2026-01857,109,ООО «ВолгаМет-109»,Опт,1,Иванов А.А.,Трубы,463,529.57,245189.11,Оплачено
2026-01-04,Д-2026-01443,64,Кузнецов Андрей.,Розница,2,Петров Б.В.,Лист,2,376.3,752.59,Отменено
2026-01-04,Д-2026-00427,101,ООО «СтальПром-101»,Опт,2,Петров Б.В.,Арматура,757,536.5,406127.73,Оплачено
2026-01-05,Д-2026-00510,151,Волков Михаил.,Розница,3,Сидоров В.Г.,Арматура,25,442.36,11059.12,Оплачено
2026-01-05,Д-2026-01242,132,ООО «ЦентрСталь-132»,Опт,2,Петров Б.В.,Лист,214,253.34,54214.66,Оплачено
2026-01-05,Д-2026-00728,80,ООО «АрмТорг-080»,Опт,5,Соколова Е.Д.,Трубы,108,586.42,63333.03,Оплачено
2026-01-05,Д-2026-01281,30,ООО «ДонСталь-030»,Опт,5,Соколова Е.Д.,Лист,256,623.9,159719.63,Оплачено
2026-01-05,Д-2026-00487,180,ООО «АрмТорг-180»,Опт,5,Соколова Е.Д.,Лист,256,416.04,106505.73,Оплачено
2026-01-05,Д-2026-01411,169,ООО «ВолгаМет-169»,Опт,2,Петров Б.В.,Трубы,339,632.79,214517.31,В работе
2026-01-05,Д-2026-00190,64,Кузнецов Андрей.,Розница,2,Петров Б.В.,Лист,8,574.72,4597.74,Оплачено
2026-01-05,Д-2026-01566,78,ООО «СтальИндустрия-078»,Опт,2,Петров Б.В.,Трубы,405,332.72,134751.75,Оплачено
2026-01-05,Д-2026-01598,157,Павлов Михаил.,Розница,4,Кузнецов Д.Е.,Арматура,18,670.94,12076.97,В работе
2026-01-05,Д-2026-01842,176,ООО «БелМеталл-176»,Опт,1,Иванов А.А.,Лист,94,638.0,59971.65,Оплачено
2026-01-06,Д-2026-01412,60,ООО «АрмТорг-060»,Опт,1,Иванов А.А.,Трубы,57,778.14,44353.9,В работе
2026-01-06,Д-2026-01440,62,ООО «МеталлИнвест-062»,Опт,1,Иванов А.А.,Трубы,94,670.39,63016.57,В работе
2026-01-06,Д-2026-00234,161,Иванов Владимир.,Розница,2,Петров Б.В.,Арматура,27,617.84,16681.65,Оплачено
2026-01-06,Д-2026-01620,141,Иванов Михаил.,Розница,4,Кузнецов Д.Е.,Трубы,2,1120.6,2241.19,Отозвано
2026-01-06,Д-2026-01389,162,Петров Владимир.,Розница,3,Сидоров В.Г.,Лист,9,700.89,6308.05,В работе
2026-01-06,Д-2026-01675,20,ООО «АрмТорг-020»,Опт,1,Иванов А.А.,Трубы,240,668.27,160385.07,Оплачено
2026-01-07,Д-2026-00291,118,ООО «СтальИндустрия-118»,Опт,5,Соколова Е.Д.,Арматура,254,248.68,63163.95,Оплачено
2026-01-07,Д-2026-00360,181,ООО «СтальПром-181»,Опт,5,Соколова Е.Д.,Трубы,242,425.67,103011.59,Оплачено
2026-01-07,Д-2026-01063,175,Федоров Владимир.,Розница,2,Петров Б.В.,Арматура,23,183.88,4229.34,Оплачено
2026-01-07,Д-2026-01127,134,ООО «ЮгМет-134»,Опт,5,Соколова Е.Д.,Трубы,309,792.71,244946.74,Оплачено
2026-01-08,Д-2026-01657,162,Петров Владимир.,Розница,3,Сидоров В.Г.,Лист,6,467.81,2806.87,Оплачено
2026-01-08,Д-2026-00144,194,Васильев Александр.,Розница,2,Петров Б.В.,Лист,1,620.43,620.43,Отозвано
2026-01-08,Д-2026-01155,66,Попов Андрей.,Розница,4,Кузнецов Д.Е.,Метизы,30,235.24,7057.13,Оплачено
2026-01-08,Д-2026-00551,141,Иванов Михаил.,Розница,4,Кузнецов Д.Е.,Арматура,26,420.93,10944.17,В работе
2026-01-08,Д-2026-00824,144,ООО «АрмСтрой-144»,Опт,2,Петров Б.В.,Трубы,163,504.42,82219.95,Оплачено
2026-01-08,Д-2026-00813,90,Морозов Алексей.,Розница,3,Сидоров В.Г.,Трубы,12,1108.33,13299.98,Отозвано
2026-01-09,Д-2026-01297,75,Федоров Андрей.,Розница,2,Петров Б.В.,Лист,8,707.41,5659.28,В работе
2026-01-09,Д-2026-01551,14,ООО «ЮгМет-014»,Опт,2,Петров Б.В.,Трубы,106,630.17,66797.91,Оплачено
2026-01-09,Д-2026-00822,142,ООО «МеталлИнвест-142»,Опт,2,Петров Б.В.,Метизы,1421,180.68,256748.33,Отменено
2026-01-09,Д-2026-01140,194,Васильев Александр.,Розница,2,Петров Б.В.,Метизы,70,220.39,15427.36,Оплачено
2026-01-09,Д-2026-00750,78,ООО «СтальИндустрия-078»,Опт,2,Петров Б.В.,Арматура,894,311.59,278564.38,Оплачено
2026-01-09,Д-2026-00841,36,Ковалев Петр.,Розница,2,Петров Б.В.,Арматура,20,352.8,7055.98,В работе
2026-01-10,Д-2026-01092,86,ООО «ПрофМет-086»,Опт,2,Петров Б.В.,Арматура,881,455.04,400889.38,Оплачено
2026-01-10,Д-2026-01235,41,ООО «СтальПром-041»,Опт,2,Петров Б.В.,Лист,105,239.63,25160.91,Отменено
2026-01-10,Д-2026-01585,68,Козлов Андрей.,Розница,4,Кузнецов Д.Е.,Метизы,36,238.41,8582.71,Оплачено
2026-01-10,Д-2026-00807,108,Козлов Дмитрий.,Розница,2,Петров Б.В.,Метизы,35,52.34,1831.76,Оплачено
2026-01-10,Д-2026-01150,108,Козлов Дмитрий.,Розница,2,Петров Б.В.,Трубы,13,826.73,10747.55,Оплачено
2026-01-10,Д-2026-00888,194,Васильев Александр.,Розница,2,Петров Б.В.,Лист,1,817.98,817.98,Оплачено
2026-01-10,Д-2026-00175,74,Васильев Андрей.,Розница,3,Сидоров В.Г.,Арматура,4,359.5,1438.0,Оплачено
2026-01-10,Д-2026-01903,198,Семенов Александр.,Розница,3,Сидоров В.Г.,Арматура,8,687.31,5498.5,Оплачено
2026-01-11,Д-2026-01289,116,Ковалев Дмитрий.,Розница,3,Сидоров В.Г.,Метизы,53,101.03,5354.57,Оплачено
2026-01-11,Д-2026-01643,77,Павлов Андрей.,Розница,4,Кузнецов Д.Е.,Трубы,4,829.67,3318.69,Оплачено
2026-01-11,Д-2026-00116,111,ООО «КавказМет-111»,Опт,2,Петров Б.В.,Трубы,450,347.62,156430.65,Оплачено
2026-01-11,Д-2026-00084,8,Козлов Иван.,Розница,4,Кузнецов Д.Е.,Арматура,19,365.4,6942.53,Оплачено
2026-01-11,Д-2026-01323,75,Федоров Андрей.,Розница,2,Петров Б.В.,Арматура,19,346.78,6588.85,Отозвано
2026-01-11,Д-2026-01636,94,Васильев Алексей.,Розница,2,Петров Б.В.,Арматура,10,572.12,5721.23,В работе
2026-01-11,Д-2026-00279,185,ООО «ЛистМет-185»,Опт,5,Соколова Е.Д.,Лист,190,444.24,84406.26,Оплачено
2026-01-11,Д-2026-01356,142,ООО «МеталлИнвест-142»,Опт,2,Петров Б.В.,Трубы,173,455.63,78824.13,Оплачено
2026-01-11,Д-2026-01941,53,Соловьев Сергей.,Розница,3,Сидоров В.Г.,Арматура,3,523.86,1571.57,Оплачено
2026-01-11,Д-2026-00737,9,Новиков Иван.,Розница,2,Петров Б.В.,Лист,9,332.16,2989.4,Оплачено
2026-01-11,Д-2026-01712,36,Ковалев Петр.,Розница,2,Петров Б.В.,Метизы,59,186.55,11006.53,В работе
2026-01-12,Д-2026-01955,81,Иванов Алексей.,Розница,3,Сидоров В.Г.,Арматура,3,469.99,1409.96,Оплачено
2026-01-12,Д-2026-01042,161,Иванов Владимир.,Розница,2,Петров Б.В.,Арматура,13,329.18,4279.32,Отменено
2026-01-12,Д-2026-00284,36,Ковалев Петр.,Розница,2,Петров Б.В.,Арматура,27,551.05,14878.23,В работе
2026-01-12,Д-2026-01845,56,Ковалев Сергей.,Розница,2,Петров Б.В.,Метизы,73,48.24,3521.64,Оплачено
2026-01-12,Д-2026-01040,151,Волков Михаил.,Розница,3,Сидоров В.Г.,Трубы,8,590.2,4721.64,Оплачено
2026-01-12,Д-2026-00067,47,ООО «УралСталь-047»,Опт,1,Иванов А.А.,Трубы,341,805.28,274602.1,В работе
2026-01-12,Д-2026-00645,194,Васильев Александр.,Розница,2,Петров Б.В.,Лист,6,418.1,2508.6,Отменено
2026-01-12,Д-2026-00994,132,ООО «ЦентрСталь-132»,Опт,2,Петров Б.В.,Лист,187,274.63,51355.62,Отозвано
2026-01-12,Д-2026-01088,170,Морозов Владимир.,Розница,2,Петров Б.В.,Трубы,14,843.37,11807.18,Оплачено
2026-01-12,Д-2026-00846,42,Петров Сергей.,Розница,2,Петров Б.В.,Трубы,9,312.94,2816.42,Оплачено
2026-01-12,Д-2026-00228,14,ООО «ЮгМет-014»,Опт,2,Петров Б.В.,Трубы,488,934.26,455920.56,Оплачено
2026-01-13,Д-2026-01639,78,ООО «СтальИндустрия-078»,Опт,2,Петров Б.В.,Арматура,318,387.21,123133.13,Отменено
2026-01-13,Д-2026-00365,162,Петров Владимир.,Розница,3,Сидоров В.Г.,Арматура,6,233.38,1400.26,Отменено
2026-01-13,Д-2026-01046,29,Новиков Петр.,Розница,3,Сидоров В.Г.,Арматура,11,427.24,4699.62,Оплачено
2026-01-13,Д-2026-01421,56,Ковалев Сергей.,Розница,2,Петров Б.В.,Лист,3,518.72,1556.17,В работе
2026-01-13,Д-2026-00568,71,Волков Андрей.,Розница,4,Кузнецов Д.Е.,Арматура,21,529.12,11111.54,Оплачено
2026-01-13,Д-2026-00588,176,ООО «БелМеталл-176»,Опт,1,Иванов А.А.,Арматура,980,345.92,339004.1,Оплачено
2026-01-13,Д-2026-00529,14,ООО «ЮгМет-014»,Опт,2,Петров Б.В.,Арматура,629,565.7,355827.53,Отменено
2026-01-14,Д-2026-01999,50,ООО «ДонСталь-050»,Опт,5,Соколова Е.Д.,Арматура,394,475.39,187305.38,Оплачено
2026-01-14,Д-2026-00988,58,ООО «СтальИндустрия-058»,Опт,5,Соколова Е.Д.,Метизы,901,184.59,166319.93,Оплачено
2026-01-14,Д-2026-00706,181,ООО «СтальПром-181»,Опт,5,Соколова Е.Д.,Лист,93,549.18,51073.79,Оплачено
2026-01-14,Д-2026-01532,60,ООО «АрмТорг-060»,Опт,1,Иванов А.А.,Трубы,340,785.52,267075.4,В работе
2026-01-14,Д-2026-01215,46,Попов Сергей.,Розница,2,Петров Б.В.,Лист,9,453.24,4079.15,Оплачено
2026-01-14,Д-2026-00218,113,Соловьев Дмитрий.,Розница,4,Кузнецов Д.Е.,Арматура,21,424.04,8904.85,Оплачено
2026-01-14,Д-2026-00875,141,Иванов Михаил.,Розница,4,Кузнецов Д.Е.,Метизы,47,56.69,2664.63,Отменено
2026-01-15,Д-2026-00914,64,Кузнецов Андрей.,Розница,2,Петров Б.В.,Арматура,7,671.16,4698.13,В работе
2026-01-15,Д-2026-00219,77,Павлов Андрей.,Розница,4,Кузнецов Д.Е.,Лист,4,562.09,2248.35,Оплачено
2026-01-15,Д-2026-01662,20,ООО «АрмТорг-020»,Опт,1,Иванов А.А.,Метизы,1482,30.19,44739.83,В работе
2026-01-15,Д-2026-01964,136,ООО «БелМеталл-136»,Опт,5,Соколова Е.Д.,Лист,170,436.39,74186.14,Оплачено
2026-01-15,Д-2026-01084,88,Козлов Алексей.,Розница,4,Кузнецов Д.Е.,Арматура,26,662.1,17214.59,В работе
2026-01-16,Д-2026-00230,193,Соловьев Александр.,Розница,3,Сидоров В.Г.,Арматура,6,323.35,1940.13,В работе
2026-01-16,Д-2026-01468,107,Лебедев Дмитрий.,Розница,4,Кузнецов Д.Е.,Метизы,39,109.65,4276.28,Оплачено
2026-01-16,Д-2026-00123,61,Иванов Андрей.,Розница,2,Петров Б.В.,Трубы,13,854.17,11104.18,Оплачено
2026-01-16,Д-2026-01932,59,ООО «ТрубМаркет-059»,Опт,1,Иванов А.А.,Лист,140,704.2,98587.54,В работе
2026-01-16,Д-2026-00874,108,Козлов Дмитрий.,Розница,2,Петров Б.В.,Трубы,3,350.33,1051.0,Оплачено
2026-01-16,Д-2026-01644,199,Егоров Александр.,Розница,3,Сидоров В.Г.,Арматура,26,571.64,14862.7,Оплачено
2026-01-17,Д-2026-01486,29,Новиков Петр.,Розница,3,Сидоров В.Г.,Трубы,12,738.13,8857.52,Отозвано
2026-01-17,Д-2026-00264,186,Попов Александр.,Розница,4,Кузнецов Д.Е.,Трубы,6,1103.07,6618.43,Оплачено
2026-01-17,Д-2026-01685,105,Соколов Дмитрий.,Розница,2,Петров Б.В.,Трубы,4,705.11,2820.45,В работе
2026-01-17,Д-2026-00966,197,Павлов Александр.,Розница,3,Сидоров В.Г.,Арматура,6,277.76,1666.56,Отменено
2026-01-17,Д-2026-01267,194,Васильев Александр.,Розница,2,Петров Б.В.,Арматура,19,660.35,12546.56,Отменено
2026-01-17,Д-2026-01051,198,Семенов Александр.,Розница,3,Сидоров В.Г.,Арматура,4,393.5,1574.02,Отозвано
2026-01-17,Д-2026-01609,141,Иванов Михаил.,Розница,4,Кузнецов Д.Е.,Трубы,10,965.63,9656.28,Оплачено
2026-01-18,Д-2026-00050,165,ООО «ЛистМет-165»,Опт,1,Иванов А.А.,Трубы,260,534.71,139025.71,Оплачено
2026-01-18,Д-2026-00512,104,Кузнецов Дмитрий.,Розница,2,Петров Б.В.,Трубы,3,996.21,2988.64,Оплачено
2026-01-18,Д-2026-01378,134,ООО «ЮгМет-134»,Опт,5,Соколова Е.Д.,Трубы,297,512.96,152349.43,Оплачено
2026-01-18,Д-2026-01401,54,Васильев Сергей.,Розница,2,Петров Б.В.,Трубы,12,722.15,8665.85,Оплачено
2026-01-18,Д-2026-00424,109,ООО «ВолгаМет-109»,Опт,1,Иванов А.А.,Арматура,515,506.25,260720.02,Оплачено
2026-01-19,Д-2026-00318,152,ООО «ЦентрСталь-152»,Опт,5,Соколова Е.Д.,Лист,82,673.43,55221.38,Оплачено
2026-01-19,Д-2026-00640,82,Петров Алексей.,Розница,3,Сидоров В.Г.,Трубы,3,866.67,2600.0,Отменено
2026-01-19,Д-2026-01287,186,Попов Александр.,Розница,4,Кузнецов Д.Е.,Метизы,79,108.65,8583.1,Оплачено
2026-01-19,Д-2026-01395,109,ООО «ВолгаМет-109»,Опт,1,Иванов А.А.,Трубы,103,752.57,77514.93,Оплачено
2026-01-19,Д-2026-01796,69,ООО «ВолгаМет-069»,Опт,1,Иванов А.А.,Арматура,557,263.43,146729.81,Оплачено
2026-01-19,Д-2026-01492,176,ООО «БелМеталл-176»,Опт,1,Иванов А.А.,Лист,259,564.27,146147.22,Оплачено
2026-01-20,Д-2026-00787,151,Волков Михаил.,Розница,3,Сидоров В.Г.,Трубы,11,423.5,4658.55,Отозвано
2026-01-20,Д-2026-00390,25,Соколов Петр.,Розница,2,Петров Б.В.,Метизы,45,41.18,1852.89,Оплачено
2026-01-20,Д-2026-00195,68,Козлов Андрей.,Розница,4,Кузнецов Д.Е.,Трубы,8,715.33,5722.64,В работе
2026-01-20,Д-2026-00347,66,Попов Андрей.,Розница,4,Кузнецов Д.Е.,Арматура,12,249.17,2990.03,Оплачено
2026-01-20,Д-2026-01825,194,Васильев Александр.,Розница,2,Петров Б.В.,Лист,6,473.53,2841.15,В работе
2026-01-20,Д-2026-00780,58,ООО «СтальИндустрия-058»,Опт,5,Соколова Е.Д.,Трубы,115,331.22,38090.8,Оплачено
2026-01-20,Д-2026-01935,83,ООО «ТрубТорг-083»,Опт,5,Соколова Е.Д.,Трубы,229,301.67,69082.01,Оплачено
2026-01-20,Д-2026-01936,30,ООО «ДонСталь-030»,Опт,5,Соколова Е.Д.,Метизы,1887,26.36,49740.26,Оплачено
2026-01-21,Д-2026-01247,113,Соловьев Дмитрий.,Розница,4,Кузнецов Д.Е.,Метизы,45,109.19,4913.36,Оплачено
2026-01-21,Д-2026-01622,186,Попов Александр.,Розница,4,Кузнецов Д.Е.,Арматура,12,374.26,4491.09,Отменено
2026-01-21,Д-2026-00926,110,ООО «ДонСталь-110»,Опт,1,Иванов А.А.,Трубы,61,752.44,45898.91,Оплачено
2026-01-21,Д-2026-00843,151,Волков Михаил.,Розница,3,Сидоров В.Г.,Трубы,3,1042.98,3128.94,Отменено
2026-01-21,Д-2026-00860,71,Волков Андрей.,Розница,4,Кузнецов Д.Е.,Трубы,1,465.99,465.99,Оплачено
2026-01-21,Д-2026-00265,59,ООО «ТрубМаркет-059»,Опт,1,Иванов А.А.,Трубы,84,496.84,41734.52,Оплачено
2026-01-21,Д-2026-01054,199,Егоров Александр.,Розница,3,Сидоров В.Г.,Метизы,56,170.47,9546.56,Оплачено
2026-01-22,Д-2026-01463,176,ООО «БелМеталл-176»,Опт,1,Иванов А.А.,Трубы,337,279.62,94230.97,Оплачено
2026-01-22,Д-2026-00567,21,Иванов Петр.,Розница,3,Сидоров В.Г.,Арматура,14,410.79,5751.07,Оплачено
2026-01-22,Д-2026-00625,94,Васильев Алексей.,Розница,2,Петров Б.В.,Арматура,7,571.22,3998.56,В работе
2026-01-22,Д-2026-00887,109,ООО «ВолгаМет-109»,Опт,1,Иванов А.А.,Трубы,385,486.3,187223.7,Оплачено
2026-01-22,Д-2026-01156,64,Кузнецов Андрей.,Розница,2,Петров Б.В.,Трубы,10,764.62,7646.23,Оплачено
2026-01-22,Д-2026-00231,59,ООО «ТрубМаркет-059»,Опт,1,Иванов А.А.,Арматура,571,430.85,246013.47,Оплачено
2026-01-23,Д-2026-00562,22,ООО «МеталлИнвест-022»,Опт,1,Иванов А.А.,Арматура,994,278.98,277306.13,Оплачено
2026-01-23,Д-2026-00294,138,Семенов Николай.,Розница,2,Петров Б.В.,Трубы,1,646.96,646.96,Оплачено
2026-01-23,Д-2026-01557,132,ООО «ЦентрСталь-132»,Опт,2,Петров Б.В.,Арматура,265,489.15,129624.39,Оплачено
2026-01-23,Д-2026-01061,104,Кузнецов Дмитрий.,Розница,2,Петров Б.В.,Трубы,2,1057.21,2114.41,В работе
2026-01-23,Д-2026-00909,101,ООО «СтальПром-101»,Опт,2,Петров Б.В.,Лист,233,345.1,80408.57,Оплачено
2026-01-23,Д-2026-00022,175,Федоров Владимир.,Розница,2,Петров Б.В.,Трубы,9,372.21,3349.89,Оплачено
2026-01-24,Д-2026-00992,104,Кузнецов Дмитрий.,Розница,2,Петров Б.В.,Трубы,3,701.12,2103.37,Оплачено
2026-01-24,Д-2026-00217,136,ООО «БелМеталл-136»,Опт,5,Соколова Е.Д.,Арматура,827,172.83,142930.1,Оплачено
2026-01-24,Д-2026-00695,127,Лебедев Николай.,Розница,3,Сидоров В.Г.,Трубы,3,572.5,1717.49,Оплачено
2026-01-24,Д-2026-00818,98,Семенов Алексей.,Розница,2,Петров Б.В.,Арматура,6,378.89,2273.33,Оплачено
2026-01-24,Д-2026-00242,107,Лебедев Дмитрий.,Розница,4,Кузнецов Д.Е.,Метизы,16,140.37,2245.85,Оплачено
2026-01-24,Д-2026-01561,58,ООО «СтальИндустрия-058»,Опт,5,Соколова Е.Д.,Лист,220,473.26,104116.13,Оплачено
2026-01-24,Д-2026-01115,75,Федоров Андрей.,Розница,2,Петров Б.В.,Арматура,16,396.0,6336.0,Оплачено
2026-01-25,Д-2026-00747,21,Иванов Петр.,Розница,3,Сидоров В.Г.,Арматура,14,614.76,8606.59,Оплачено
2026-01-25,Д-2026-01605,39,Егоров Петр.,Розница,4,Кузнецов Д.Е.,Лист,2,545.27,1090.54,Отменено
2026-01-25,Д-2026-00601,51,Волков Сергей.,Розница,2,Петров Б.В.,Лист,2,611.39,1222.78,Оплачено
2026-01-25,Д-2026-01790,97,Павлов Алексей.,Розница,4,Кузнецов Д.Е.,Лист,5,275.73,1378.65,В работе
2026-01-25,Д-2026-01586,199,Егоров Александр.,Розница,3,Сидоров В.Г.,Арматура,26,367.05,9543.2,Оплачено
2026-01-26,Д-2026-00833,141,Иванов Михаил.,Розница,4,Кузнецов Д.Е.,Лист,9,315.2,2836.77,Оплачено
2026-01-26,Д-2026-01908,171,Волков Владимир.,Розница,4,Кузнецов Д.Е.,Арматура,29,377.76,10955.04,В работе
2026-01-26,Д-2026-01167,163,Сидоров Владимир.,Розница,4,Кузнецов Д.Е.,Трубы,1,1083.18,1083.18,Оплачено
2026-01-26,Д-2026-01518,141,Иванов Михаил.,Розница,4,Кузнецов Д.Е.,Метизы,15,171.24,2568.61,Отменено
2026-01-26,Д-2026-01962,109,ООО «ВолгаМет-109»,Опт,1,Иванов А.А.,Трубы,64,375.37,24023.52,Оплачено
2026-01-26,Д-2026-01529,142,ООО «МеталлИнвест-142»,Опт,2,Петров Б.В.,Метизы,319,30.47,9719.85,Оплачено
2026-01-26,Д-2026-00707,95,Федоров Алексей.,Розница,4,Кузнецов Д.Е.,Метизы,22,96.46,2122.08,Оплачено
2026-01-27,Д-2026-00893,127,Лебедев Николай.,Розница,3,Сидоров В.Г.,Арматура,11,228.53,2513.85,Оплачено
2026-01-27,Д-2026-00802,148,Козлов Михаил.,Розница,2,Петров Б.В.,Метизы,75,71.31,5348.24,Оплачено
2026-01-27,Д-2026-00327,171,Волков Владимир.,Розница,4,Кузнецов Д.Е.,Трубы,5,748.71,3743.57,Оплачено
2026-01-27,Д-2026-00393,46,Попов Сергей.,Розница,2,Петров Б.В.,Метизы,26,235.98,6135.56,Оплачено
2026-01-27,Д-2026-00795,175,Федоров Владимир.,Розница,2,Петров Б.В.,Арматура,8,577.29,4618.33,Оплачено
2026-01-27,Д-2026-01834,39,Егоров Петр.,Розница,4,Кузнецов Д.Е.,Метизы,11,178.35,1961.87,Отменено
2026-01-27,Д-2026-00017,162,Петров Владимир.,Розница,3,Сидоров В.Г.,Арматура,9,327.14,2944.29,Оплачено
2026-01-27,Д-2026-01580,94,Васильев Алексей.,Розница,2,Петров Б.В.,Трубы,13,1018.82,13244.64,Оплачено
2026-01-27,Д-2026-00786,7,ООО «УралСталь-007»,Опт,1,Иванов А.А.,Трубы,96,955.61,91738.39,Оплачено
2026-01-27,Д-2026-01809,24,Кузнецов Петр.,Розница,4,Кузнецов Д.Е.,Метизы,52,212.63,11056.73,Оплачено
2026-01-27,Д-2026-00775,44,Кузнецов Сергей.,Розница,2,Петров Б.В.,Метизы,17,127.47,2166.99,Оплачено
2026-01-27,Д-2026-01413,198,Семенов Александр.,Розница,3,Сидоров В.Г.,Лист,6,315.62,1893.73,Отозвано
2026-01-27,Д-2026-01386,59,ООО «ТрубМаркет-059»,Опт,1,Иванов А.А.,Арматура,402,425.15,170910.33,Оплачено
2026-01-27,Д-2026-01606,108,Козлов Дмитрий.,Розница,2,Петров Б.В.,Трубы,5,937.86,4689.28,Оплачено
2026-01-27,Д-2026-01462,58,ООО «СтальИндустрия-058»,Опт,5,Соколова Е.Д.,Лист,284,431.75,122616.91,Оплачено
2026-01-27,Д-2026-00210,45,ООО «ЛистМет-045»,Опт,5,Соколова Е.Д.,Лист,137,590.01,80831.07,Оплачено
2026-01-27,Д-2026-01142,176,ООО «БелМеталл-176»,Опт,1,Иванов А.А.,Трубы,156,1003.52,156549.33,Оплачено
2026-01-28,Д-2026-00657,195,ООО «ВостокМет-195»,Опт,5,Соколова Е.Д.,Лист,276,758.79,209425.65,Оплачено
2026-01-28,Д-2026-01638,62,ООО «МеталлИнвест-062»,Опт,1,Иванов А.А.,Трубы,174,830.61,144525.34,Оплачено
2026-01-28,Д-2026-00254,75,Федоров Андрей.,Розница,2,Петров Б.В.,Трубы,7,450.42,3152.93,В работе
2026-01-28,Д-2026-00650,58,ООО «СтальИндустрия-058»,Опт,5,Соколова Е.Д.,Трубы,162,600.65,97306.04,Оплачено
2026-01-28,Д-2026-01202,23,ООО «ТрубТорг-023»,Опт,5,Соколова Е.Д.,Арматура,787,193.17,152025.77,Оплачено
2026-01-28,Д-2026-01706,195,ООО «ВостокМет-195»,Опт,5,Соколова Е.Д.,Арматура,378,154.04,58225.29,В работе
2026-01-28,Д-2026-00877,94,Васильев Алексей.,Розница,2,Петров Б.В.,Трубы,14,624.09,8737.26,Оплачено
2026-01-28,Д-2026-01493,107,Лебедев Дмитрий.,Розница,4,Кузнецов Д.Е.,Метизы,8,163.8,1310.4,В работе
2026-01-28,Д-2026-00708,86,ООО «ПрофМет-086»,Опт,2,Петров Б.В.,Трубы,485,1110.7,538690.24,Оплачено
